Plastic type,Replacement %,Particle size (mm),w/c ratio,Additive type,Additive %,Curing temperature (°C),Curing duration (days),Compressive strength (MPa),Flexural strength (MPa),Split tensile strength (MPa),Density (kg/m³),Water absorption (%),Thermal conductivity (W/m·K),Durability index
PET,4.37,9.81,0.529,GGBS,28.3,24.8,27.9,42.62,5.16,3.29,2354.0,3.09,1.216,65.1
PET,4.81,0.6,0.52,fly ash,29.7,20.3,55.8,65.31,5.62,5.84,2344.9,2.59,1.239,65.1
PET,1.02,4.8,0.423,silica fume,7.4,28.9,90.0,85.0,6.4,7.89,2385.2,2.18,1.338,76.6
PET,0.96,3.15,0.5,GGBS,16.4,22.3,6.5,18.88,2.59,1.9,2355.2,2.85,1.293,46.6
PET,4.87,14.85,0.483,silica fume,12.5,36.3,28.3,53.7,5.47,4.88,2345.8,2.32,1.248,68.5
PET,4.42,4.22,0.537,GGBS,12.8,22.2,27.7,41.99,4.38,3.39,2347.9,3.13,1.205,62.2
PET,2.36,1.09,0.458,fly ash,24.1,21.6,27.6,49.39,5.47,5.4,2313.8,2.42,1.227,69.2
PET,0.84,2.6,0.508,none,0.0,21.6,28.4,38.37,5.0,3.21,2308.9,3.23,1.332,51.2
PET,2.77,13.03,0.453,none,0.0,22.6,56.4,60.07,5.19,4.51,2315.6,3.04,1.3,70.7
PET,2.34,1.94,0.47,fly ash,11.9,28.6,55.7,62.81,5.63,6.07,2392.6,2.89,1.19,67.7
PET,2.97,0.59,0.464,silica fume,14.0,41.8,7.4,23.93,3.22,1.96,2379.8,1.8,1.352,55.0
PET,4.01,0.9,0.35,silica fume,18.7,27.6,90.0,85.0,7.7,6.57,2351.6,1.02,1.245,76.8
PET,4.81,0.79,0.483,GGBS,22.0,30.5,56.0,59.72,6.24,5.99,2360.1,2.45,1.192,66.3
PET,2.34,0.59,0.374,GGBS,25.5,18.5,7.0,20.23,3.69,1.94,2366.7,1.45,1.278,47.2
PET,3.11,0.62,0.465,fly ash,25.2,28.5,27.5,50.4,4.71,4.14,2353.7,1.84,1.169,79.0
PET,2.02,4.74,0.455,none,0.0,31.0,90.0,77.93,7.32,8.0,2313.9,2.5,1.259,64.2
PET,3.77,9.11,0.466,fly ash,19.6,20.1,28.1,47.19,4.58,4.49,2304.6,2.31,1.215,71.4
PET,1.73,2.16,0.481,GGBS,24.8,25.2,89.5,82.91,6.88,7.4,2307.8,2.88,1.302,68.9
PET,3.68,8.24,0.539,GGBS,17.2,25.5,28.4,44.11,4.78,4.08,2332.7,2.96,1.248,56.6
PET,1.3,0.53,0.492,silica fume,19.1,51.0,6.9,22.65,3.45,1.98,2315.6,2.54,1.385,49.2
PET,2.69,1.77,0.449,silica fume,15.1,26.0,7.2,21.74,3.03,2.38,2379.9,2.01,1.387,51.8
PET,3.47,9.63,0.478,GGBS,13.5,28.6,27.6,40.77,4.56,3.26,2299.9,2.15,1.235,64.9
PET,2.17,5.35,0.361,silica fume,17.2,26.4,55.9,80.63,7.72,6.16,2348.0,1.43,1.268,78.3
PET,1.28,1.6,0.546,silica fume,20.0,46.8,7.5,20.78,3.34,1.63,2328.7,2.57,1.277,45.3
PET,0.69,0.79,0.458,fly ash,20.5,26.8,27.8,46.98,5.56,5.13,2329.4,2.72,1.268,67.6
PET,4.34,6.94,0.499,fly ash,13.8,62.9,13.6,31.04,4.42,2.78,2355.6,2.65,1.2,56.0
PET,0.24,7.76,0.447,fly ash,18.2,69.1,27.9,53.92,5.97,4.33,2354.4,2.74,1.318,66.9
PET,3.85,1.08,0.469,GGBS,10.1,20.0,90.0,68.34,6.09,5.31,2324.1,2.07,1.22,74.0
PET,2.6,3.15,0.546,silica fume,5.1,28.7,89.8,70.21,7.16,7.68,2305.1,2.65,1.274,69.0
PET,3.58,4.44,0.372,GGBS,18.9,26.6,27.5,55.07,5.25,5.77,2384.0,1.52,1.205,73.6
PET,3.34,0.92,0.467,fly ash,13.2,35.4,13.7,33.75,4.09,2.97,2327.0,2.34,1.229,61.7
PET,2.4,0.99,0.445,fly ash,19.3,29.6,28.1,54.45,5.08,5.8,2323.4,2.59,1.253,63.6
PET,4.14,0.66,0.52,silica fume,19.5,21.7,6.7,17.91,2.74,1.55,2317.5,3.11,1.271,42.0
PET,0.55,9.76,0.35,silica fume,19.5,29.0,27.7,59.23,5.76,5.86,2357.5,1.19,1.327,80.1
PET,3.82,3.23,0.535,none,0.0,19.6,6.6,16.58,2.24,1.44,2320.4,3.74,1.192,33.8
PET,3.15,5.59,0.438,GGBS,23.3,28.0,14.2,34.81,4.43,3.46,2326.8,1.98,1.293,58.6
PET,0.37,2.12,0.43,none,0.0,27.4,56.4,71.85,6.39,6.54,2373.1,2.83,1.306,65.5
PET,4.53,0.64,0.477,silica fume,8.0,49.5,13.8,35.68,3.91,3.72,2326.5,2.07,1.264,61.9
PET,3.71,1.57,0.513,fly ash,12.5,22.1,28.4,44.58,5.45,4.64,2329.2,3.05,1.2,59.0
PET,0.29,1.0,0.613,none,0.0,43.2,27.7,38.67,4.07,3.76,2329.1,4.22,1.344,51.4
PET,4.76,5.64,0.445,GGBS,29.6,25.1,13.6,35.17,3.85,3.75,2357.4,2.66,1.216,57.7
PET,0.94,3.37,0.582,silica fume,16.6,27.2,27.7,40.45,5.2,4.41,2331.9,3.38,1.402,61.5
PET,2.17,8.73,0.443,none,0.0,26.2,3.5,11.06,2.13,1.18,2396.6,2.31,1.292,36.2
PET,4.62,0.54,0.412,silica fume,15.7,59.5,14.0,43.89,4.76,3.31,2346.3,1.66,1.272,72.2
PET,4.61,9.92,0.603,silica fume,9.8,23.9,55.9,51.72,5.31,5.51,2336.9,3.07,1.177,64.5
PET,3.34,0.64,0.53,fly ash,23.4,21.1,90.0,69.55,6.26,6.95,2328.3,3.05,1.241,69.1
PET,3.79,0.81,0.455,GGBS,20.7,26.6,89.7,72.07,7.33,6.62,2329.2,1.96,1.266,71.5
PET,2.55,12.61,0.435,GGBS,22.8,62.5,3.4,12.91,2.32,1.01,2353.3,2.4,1.273,43.4
PET,2.68,0.72,0.447,none,0.0,37.0,7.3,20.29,3.17,1.66,2313.3,2.37,1.267,42.5
PET,0.19,0.74,0.594,silica fume,13.5,44.1,27.6,41.81,5.16,3.52,2324.7,3.77,1.317,53.9
PET,3.87,11.82,0.503,none,0.0,26.6,28.2,37.86,4.46,3.68,2354.2,2.98,1.261,55.8
PET,4.64,2.96,0.445,none,0.0,44.1,28.4,44.85,5.66,4.1,2341.8,2.69,1.207,61.7
PET,0.03,2.48,0.516,silica fume,7.7,27.8,89.7,73.61,6.86,6.1,2357.2,2.87,1.394,73.6
PET,4.05,8.96,0.416,GGBS,21.2,21.1,3.0,11.31,2.17,1.17,2311.6,1.99,1.272,44.4
PET,0.75,0.9,0.399,fly ash,24.3,24.4,28.1,54.95,5.22,5.33,2366.2,2.16,1.293,73.7
PET,3.92,1.04,0.513,fly ash,23.7,21.7,7.5,18.69,2.87,1.41,2387.7,3.07,1.238,40.1
PET,0.75,0.99,0.416,none,0.0,25.9,3.0,10.05,2.05,0.98,2361.3,2.54,1.354,37.2
PET,2.89,5.63,0.492,fly ash,16.6,20.0,56.2,58.74,6.91,6.28,2338.7,2.93,1.224,62.6
PET,4.11,0.89,0.446,silica fume,16.7,44.1,6.7,21.39,3.34,2.09,2361.1,2.06,1.353,49.7
PET,4.26,8.63,0.529,GGBS,15.5,69.6,14.3,30.82,3.87,3.3,2413.8,2.81,1.227,56.9
PET,1.48,0.75,0.521,silica fume,14.8,46.3,27.6,47.35,5.83,3.92,2333.9,2.9,1.335,70.0
PET,4.71,1.9,0.404,GGBS,18.2,18.1,3.0,10.71,2.07,0.89,2359.9,1.62,1.205,44.3
PET,4.97,0.55,0.503,silica fume,15.1,19.9,27.9,42.7,5.14,3.47,2299.0,2.18,1.247,64.6
PET,0.22,2.92,0.446,fly ash,12.4,20.7,55.8,66.09,5.67,5.79,2373.3,2.59,1.234,68.4
PET,4.94,9.54,0.601,GGBS,29.7,30.2,56.3,54.43,5.55,5.53,2321.1,3.55,1.232,60.8
PET,4.37,12.14,0.466,silica fume,7.5,24.1,89.6,85.0,7.3,6.75,2350.8,2.17,1.308,71.9
PET,4.7,0.93,0.35,fly ash,30.0,79.5,28.0,62.45,6.1,6.82,2270.0,1.39,1.213,69.1
PET,4.73,7.44,0.441,silica fume,10.2,44.5,7.3,22.55,3.19,1.91,2370.4,2.0,1.246,52.4
PET,2.64,0.74,0.394,silica fume,9.0,49.1,27.8,63.27,6.05,6.84,2309.6,2.16,1.216,79.9
PET,0.47,5.04,0.417,silica fume,7.4,20.5,56.2,72.41,6.81,6.45,2360.6,2.18,1.321,75.7
PET,3.16,1.4,0.471,fly ash,21.8,38.1,7.1,19.4,3.39,1.95,2326.1,2.81,1.28,46.1
PET,1.3,13.69,0.476,GGBS,28.3,25.3,27.8,42.16,5.22,4.5,2347.8,3.12,1.308,62.5
PET,0.51,2.1,0.478,fly ash,11.5,19.7,14.3,28.46,3.59,2.4,2360.7,3.0,1.233,53.9
PET,0.85,1.14,0.601,fly ash,27.1,22.2,28.1,38.23,4.57,3.62,2314.0,4.01,1.278,47.6
PET,4.1,1.62,0.42,GGBS,27.0,23.3,13.6,34.65,4.23,3.16,2353.6,1.51,1.289,62.1
PET,1.19,4.69,0.469,GGBS,23.3,27.6,28.4,45.25,4.43,4.55,2348.5,3.05,1.227,67.0
PET,3.55,12.35,0.508,silica fume,9.7,27.2,28.5,48.71,4.95,4.25,2343.2,2.44,1.329,68.7
PET,2.05,1.3,0.35,fly ash,13.6,21.5,28.2,57.7,5.76,5.0,2371.3,1.83,1.186,80.5
PET,1.15,5.88,0.582,none,0.0,28.5,7.4,15.6,2.76,1.42,2364.1,3.99,1.233,31.5
PET,4.27,10.27,0.471,none,0.0,24.3,89.9,72.0,6.63,5.71,2300.9,2.79,1.283,67.2
PET,0.31,0.89,0.58,fly ash,24.2,21.9,6.9,16.45,2.48,1.52,2315.5,4.17,1.296,31.8
PET,1.28,3.97,0.39,none,0.0,22.7,27.5,49.03,5.03,3.76,2382.0,2.35,1.334,67.1
PET,3.43,4.43,0.43,GGBS,16.7,41.7,3.0,12.43,1.79,1.24,2326.8,1.92,1.229,44.4
PET,1.73,4.26,0.521,none,0.0,22.6,28.4,41.32,4.9,3.51,2328.0,3.3,1.311,58.9
PET,0.2,6.75,0.353,none,0.0,19.1,14.5,39.47,3.94,3.74,2368.6,2.17,1.304,65.4
PET,4.45,2.38,0.541,fly ash,24.7,25.3,55.6,61.04,5.82,4.68,2265.7,3.49,1.183,66.7
PET,0.4,1.58,0.407,silica fume,17.1,56.6,90.0,85.0,7.84,7.62,2336.6,2.32,1.427,76.9
PET,2.62,12.56,0.608,none,0.0,27.7,14.2,23.83,2.95,2.05,2325.1,4.05,1.269,41.2
PET,4.98,3.37,0.48,none,0.0,47.3,90.0,74.21,6.76,6.12,2344.5,2.79,1.228,63.5
PET,2.29,14.91,0.466,GGBS,23.3,19.1,27.7,48.56,5.79,3.92,2356.3,2.27,1.218,72.7
PET,3.81,0.8,0.357,silica fume,8.5,42.3,27.8,55.51,6.35,4.26,2379.9,0.82,1.306,82.4
PET,1.52,7.33,0.569,GGBS,16.0,20.3,13.8,26.5,3.52,2.53,2361.3,4.05,1.284,48.7
PET,2.62,7.69,0.432,none,0.0,39.0,7.3,21.11,2.91,2.05,2331.5,2.43,1.227,45.5
PET,0.17,0.54,0.561,GGBS,22.8,41.9,14.2,32.0,3.82,3.21,2319.3,3.03,1.302,52.3
PET,1.0,3.04,0.604,none,0.0,22.9,28.4,33.97,4.87,3.53,2359.3,4.02,1.365,42.0
PET,0.72,0.74,0.382,silica fume,14.5,59.7,28.0,65.54,5.64,5.26,2358.3,2.08,1.335,73.4
PET,2.52,1.05,0.476,GGBS,16.8,22.4,27.8,44.89,4.57,4.67,2343.6,2.72,1.314,62.3
PET,0.11,0.87,0.49,none,0.0,22.3,7.1,19.28,2.74,1.47,2348.0,3.12,1.256,39.5
PET,3.16,14.41,0.457,none,0.0,30.3,55.8,60.93,6.31,4.88,2320.0,2.75,1.211,69.6
PET,4.32,0.59,0.456,silica fume,12.4,29.0,55.6,67.96,6.55,6.09,2350.0,2.13,1.262,75.1
PET,2.91,10.93,0.507,fly ash,29.4,19.1,27.5,44.81,4.89,4.42,2312.5,3.27,1.196,63.9
PET,2.15,8.36,0.6,fly ash,10.3,31.7,90.0,66.7,6.63,5.36,2359.1,3.87,1.244,64.3
PET,0.76,8.98,0.474,silica fume,6.5,32.9,14.4,36.87,4.46,3.22,2352.4,1.85,1.258,59.9
PET,4.45,9.75,0.432,GGBS,19.3,38.8,56.4,70.08,5.56,6.33,2383.6,1.79,1.192,73.1
PET,2.05,4.95,0.52,silica fume,10.0,45.7,55.8,66.04,6.38,5.22,2317.3,3.03,1.366,69.6
PET,1.73,6.3,0.35,GGBS,15.0,21.9,28.2,62.53,5.1,6.68,2321.9,1.5,1.273,77.6
PET,2.88,1.09,0.414,GGBS,16.5,23.1,28.4,53.72,5.17,4.83,2348.8,2.14,1.261,73.1
PET,2.89,0.64,0.559,GGBS,17.0,68.6,6.6,20.97,2.76,2.28,2361.1,2.88,1.25,38.9
PET,3.13,0.97,0.401,fly ash,21.4,24.5,27.8,61.26,5.92,5.06,2369.7,2.25,1.178,74.4
PET,4.66,1.03,0.388,none,0.0,29.6,28.0,48.0,4.89,4.56,2394.1,2.01,1.27,69.8
PET,3.47,12.89,0.468,GGBS,23.1,72.2,3.0,11.2,1.95,1.0,2340.1,2.3,1.209,37.9
PET,2.33,0.53,0.429,fly ash,20.1,29.5,28.1,49.62,5.34,3.81,2352.4,2.38,1.216,72.1
PET,4.91,3.39,0.481,GGBS,28.5,24.5,13.7,32.24,3.86,3.14,2370.2,2.46,1.214,57.3
PET,3.9,10.79,0.376,none,0.0,68.8,28.3,57.86,5.58,5.34,2348.3,2.14,1.245,63.7
PET,2.67,0.53,0.512,none,0.0,40.6,27.6,44.5,4.64,4.79,2367.3,3.58,1.248,53.9
PET,1.56,0.9,0.422,fly ash,24.8,25.7,7.4,21.38,3.24,1.91,2312.2,2.7,1.223,50.5
PET,1.57,3.5,0.443,fly ash,15.1,26.2,7.2,19.52,3.1,1.84,2341.7,2.45,1.368,50.5
PET,0.22,12.83,0.503,none,0.0,22.6,3.1,10.61,1.84,1.05,2331.6,3.74,1.226,30.0
PET,3.18,1.71,0.421,GGBS,14.6,18.9,27.9,46.89,4.53,4.05,2365.5,2.22,1.292,68.7
PET,2.19,2.59,0.515,fly ash,26.4,35.7,27.9,46.6,5.56,3.89,2353.5,3.18,1.312,64.2
PET,3.46,10.41,0.539,none,0.0,25.4,13.7,25.0,3.59,2.28,2355.9,3.71,1.206,38.4
PET,4.62,6.54,0.568,none,0.0,79.0,90.0,67.79,6.12,5.91,2352.0,3.99,1.238,60.8
PET,3.39,2.08,0.435,none,0.0,64.7,27.8,48.22,5.35,4.78,2297.0,2.42,1.288,68.6
PET,0.57,11.17,0.464,silica fume,15.2,25.7,55.6,76.77,5.59,8.0,2348.6,2.58,1.348,73.7
PET,2.28,2.46,0.508,silica fume,15.3,45.8,14.4,33.6,4.22,2.59,2293.0,2.6,1.237,60.3
PET,3.16,9.92,0.542,silica fume,7.7,18.3,55.7,52.86,6.1,5.77,2321.1,2.51,1.303,69.5
PET,4.26,1.58,0.526,fly ash,14.4,30.9,13.9,30.72,3.77,2.61,2333.2,2.9,1.184,46.6
PET,4.29,4.13,0.499,silica fume,12.7,19.4,13.9,30.88,4.61,3.38,2319.6,2.19,1.298,60.7
PET,1.81,0.99,0.523,fly ash,11.2,29.0,14.2,31.67,3.28,2.83,2366.6,3.25,1.226,51.2
PET,4.14,5.58,0.476,none,0.0,41.4,89.5,75.82,6.74,6.06,2298.8,2.98,1.238,61.7
PET,2.09,12.32,0.57,fly ash,29.8,36.2,3.1,9.88,2.04,0.82,2347.5,3.75,1.285,33.6
PET,0.07,10.96,0.503,none,0.0,41.7,56.3,62.39,5.8,5.23,2322.6,3.28,1.313,61.9
PET,5.0,5.85,0.356,none,0.0,27.6,89.9,83.37,7.32,8.0,2364.1,1.45,1.242,71.4
PET,2.43,0.57,0.614,none,0.0,27.5,55.6,52.02,4.32,4.47,2378.1,4.18,1.209,59.8
PET,4.58,14.08,0.411,none,0.0,47.8,28.3,48.48,5.46,5.11,2353.2,2.12,1.255,65.0
PET,0.48,14.42,0.483,fly ash,27.0,26.5,7.0,19.45,3.18,1.81,2333.4,3.04,1.315,48.5
PET,0.34,2.27,0.426,silica fume,6.9,27.7,28.3,56.16,5.29,5.64,2378.1,1.89,1.311,76.3
PET,3.48,0.78,0.377,GGBS,23.1,41.6,7.3,24.57,3.7,2.69,2318.3,1.45,1.277,54.6
PET,1.82,5.62,0.462,silica fume,11.2,18.3,55.7,71.49,6.63,5.92,2317.2,2.45,1.331,75.5
PET,3.51,8.53,0.402,GGBS,24.2,74.8,28.0,55.94,5.52,5.16,2392.6,1.61,1.271,77.6
PET,0.02,0.6,0.499,GGBS,24.7,40.3,55.8,64.0,6.21,6.51,2342.7,3.06,1.31,67.7
PET,1.1,0.68,0.492,fly ash,28.9,26.1,13.8,34.26,3.66,3.63,2327.2,2.93,1.288,57.3
