plastic_type,plastic_type_enc,replacement_pct,particle_size_mm,wc_ratio,additive_type,additive_type_enc,additive_pct,curing_temp_c,curing_days,compressive_strength_mpa,flexural_strength_mpa,split_tensile_mpa,density_kgm3,water_absorption_pct,thermal_conductivity_wm,durability_index,score_paving_block_light,suitable_paving_block_light,score_paving_block_heavy,suitable_paving_block_heavy,score_floor_tile_indoor,suitable_floor_tile_indoor,score_floor_tile_outdoor,suitable_floor_tile_outdoor,score_hollow_concrete_block,suitable_hollow_concrete_block,score_lightweight_partition_block,suitable_lightweight_partition_block,score_structural_concrete,suitable_structural_concrete,score_nonstructural_concrete_fill,suitable_nonstructural_concrete_fill,score_plastic_sand_paver,suitable_plastic_sand_paver,score_wall_cladding_panel,suitable_wall_cladding_panel,score_thermal_insulation_panel,suitable_thermal_insulation_panel,score_kerb_stone,suitable_kerb_stone,primary_application
LDPE,2,16.0,1.8,0.62,silica_fume,2,6.4,50.0,85,22.77,3.65,2.27,2168.1,3.21,0.801,91.2,86.42,1,51.5,0,40.2,0,32.12,0,100.0,1,70.1,1,85.04,1,86.6,1,65.36,1,69.81,1,54.19,0,73.66,1,hollow_concrete_block
PVC,3,5.7,3.2,0.57,silica_fume,2,22.4,45.7,77,35.44,4.99,3.15,2289.3,1.96,0.988,100.0,96.96,1,71.76,1,61.52,1,48.52,0,100.0,1,65.97,1,90.05,1,85.73,1,75.0,1,65.51,1,48.03,0,94.58,1,hollow_concrete_block
PVC,3,14.5,19.9,0.39,fibres,3,2.7,22.8,17,13.2,1.7,1.5,2222.1,4.4,0.808,77.6,66.19,1,38.91,0,23.51,0,18.21,0,100.0,1,69.5,1,61.75,1,86.2,1,52.6,0,69.4,1,53.7,0,54.34,0,hollow_concrete_block
HDPE,1,25.1,15.9,0.48,none,0,0.0,43.1,79,20.35,2.64,1.97,1989.3,5.93,0.638,80.0,68.43,1,41.75,0,31.45,0,25.4,0,100.0,1,76.01,1,67.95,1,88.1,1,58.61,1,74.29,1,62.67,1,57.27,1,hollow_concrete_block
PVC,3,21.2,19.4,0.61,none,0,0.0,60.8,17,7.53,0.98,0.47,2136.0,5.68,0.642,60.9,50.85,0,29.98,0,14.67,0,11.11,0,100.0,1,74.5,1,52.17,0,86.85,1,42.9,0,73.99,1,61.75,1,41.13,0,hollow_concrete_block
Mixed,5,35.4,15.1,0.58,silica_fume,2,3.3,46.1,61,11.38,2.16,1.17,1915.2,7.79,0.373,60.0,49.47,0,30.18,0,20.2,0,16.54,0,96.39,1,80.89,1,42.58,0,88.8,1,39.14,0,86.41,1,85.44,1,40.67,0,hollow_concrete_block
PET,0,38.2,17.6,0.43,fly_ash,1,15.2,26.4,83,18.84,3.38,1.85,1988.5,8.86,0.369,69.6,59.57,1,37.23,0,30.3,0,25.36,0,93.81,1,80.12,1,62.71,1,86.16,1,46.19,0,84.76,1,85.06,1,49.84,0,hollow_concrete_block
LDPE,2,33.7,10.4,0.41,silica_fume,2,22.9,52.4,70,25.61,3.82,2.38,1910.2,4.28,0.524,86.3,81.66,1,49.07,0,41.39,0,33.61,0,100.0,1,80.94,1,72.68,1,88.85,1,69.15,1,81.7,1,71.27,1,69.07,1,hollow_concrete_block
PET,0,24.0,10.0,0.38,silica_fume,2,26.4,69.9,42,25.98,3.47,2.62,2102.1,3.17,0.643,82.4,90.2,1,53.24,0,43.07,0,34.19,0,100.0,1,74.76,1,86.01,1,87.13,1,69.64,1,75.03,1,61.84,1,76.63,1,hollow_concrete_block
HDPE,1,2.3,17.6,0.63,none,0,0.0,63.9,11,10.12,1.14,1.32,2294.5,2.29,1.006,77.9,69.93,1,45.03,0,24.61,0,17.46,0,100.0,1,65.69,1,51.52,0,85.69,1,48.49,0,65.2,1,47.57,0,62.88,1,hollow_concrete_block
PP,4,30.6,3.0,0.49,fly_ash,1,8.0,72.3,57,14.48,2.42,1.13,1913.4,7.61,0.58,62.0,54.14,0,33.14,0,24.03,0,19.69,0,96.9,1,78.89,1,48.13,0,88.81,1,43.84,0,74.25,1,66.83,1,44.85,0,hollow_concrete_block
HDPE,1,37.2,15.2,0.56,silica_fume,2,12.0,60.3,50,10.82,1.67,1.14,1840.4,6.75,0.408,60.3,50.18,0,30.15,0,18.95,0,15.09,0,99.69,1,81.73,1,36.38,0,89.56,1,42.08,0,87.66,1,84.69,1,41.22,0,hollow_concrete_block
PVC,3,36.0,9.3,0.42,none,0,0.0,40.3,78,15.88,2.01,1.96,2022.2,8.0,0.493,64.7,56.5,1,34.88,0,24.24,0,19.59,0,95.83,1,79.78,1,58.93,1,87.8,1,44.51,0,78.0,1,73.57,1,46.89,0,hollow_concrete_block
PP,4,9.2,4.8,0.37,none,0,0.0,33.7,7,13.89,2.29,1.23,2246.0,3.82,0.903,85.7,71.34,1,41.77,0,26.6,0,20.84,0,100.0,1,67.58,1,63.27,1,86.03,1,53.52,0,67.22,1,50.48,0,58.95,1,hollow_concrete_block
LDPE,2,2.8,5.1,0.55,fly_ash,1,16.2,63.4,76,28.61,3.78,2.68,2285.5,2.47,0.975,100.0,95.08,1,61.67,1,48.86,0,38.41,0,100.0,1,66.18,1,88.0,1,85.75,1,73.15,1,65.74,1,48.37,0,86.36,1,hollow_concrete_block
PP,4,18.9,15.8,0.59,fly_ash,1,2.8,59.5,48,14.34,2.01,1.73,2069.0,6.49,0.748,71.4,58.51,1,35.6,0,23.47,0,18.82,0,100.0,1,72.16,1,61.42,1,87.4,1,47.88,0,69.03,1,56.75,1,48.36,0,hollow_concrete_block
PVC,3,16.4,17.3,0.37,none,0,0.0,23.6,46,19.25,2.84,1.88,2215.6,5.14,0.75,80.5,71.29,1,43.03,0,31.54,0,25.46,0,100.0,1,70.83,1,73.04,1,86.25,1,60.67,1,70.96,1,56.03,1,59.27,1,hollow_concrete_block
PET,0,9.9,4.2,0.48,fibres,3,5.5,47.8,12,10.5,1.34,1.22,2260.4,3.28,0.86,81.2,70.59,1,40.23,0,21.98,0,16.31,0,100.0,1,68.2,1,55.43,1,85.93,1,49.0,0,68.04,1,51.75,0,57.91,1,hollow_concrete_block
PVC,3,32.3,17.2,0.38,none,0,0.0,78.1,33,10.42,1.51,1.05,2008.9,7.96,0.544,63.0,48.97,0,30.0,0,17.55,0,14.02,0,95.94,1,79.42,1,48.44,0,87.92,1,37.34,0,75.08,1,69.07,1,40.13,0,hollow_concrete_block
HDPE,1,16.3,9.9,0.61,none,0,0.0,29.9,3,7.96,0.7,0.61,2138.9,5.14,0.781,74.6,54.95,0,32.4,0,14.9,0,10.98,0,100.0,1,70.77,1,56.6,1,86.83,1,45.61,0,70.46,1,55.08,1,44.66,0,hollow_concrete_block
PVC,3,10.6,15.8,0.49,fibres,3,20.9,63.8,74,27.15,4.14,2.91,2268.8,3.78,0.879,100.0,89.46,1,54.72,0,44.55,0,36.12,0,100.0,1,67.8,1,86.76,1,85.87,1,71.2,1,67.61,1,51.12,0,75.69,1,hollow_concrete_block
Mixed,5,28.7,3.5,0.44,none,0,0.0,54.8,72,16.56,2.17,1.67,2060.7,6.42,0.604,69.1,61.3,1,37.31,0,26.14,0,21.0,0,100.0,1,76.49,1,63.94,1,87.47,1,51.16,0,74.3,1,64.44,1,50.86,0,hollow_concrete_block
PET,0,29.9,1.6,0.53,fly_ash,1,1.7,50.5,26,8.01,1.45,0.81,2027.6,7.1,0.585,53.8,46.3,0,27.76,0,15.39,0,12.21,0,98.47,1,77.52,1,43.4,0,87.75,1,36.97,0,74.14,1,65.89,1,37.53,0,hollow_concrete_block
PET,0,23.8,13.7,0.42,none,0,0.0,76.5,75,22.31,3.14,2.1,2183.5,6.54,0.542,81.9,71.14,1,43.96,0,34.24,0,28.02,0,100.0,1,77.92,1,80.79,1,86.49,1,58.29,1,76.52,1,68.44,1,59.6,1,hollow_concrete_block
HDPE,1,23.2,1.3,0.37,silica_fume,2,28.0,32.3,43,27.47,4.1,2.59,2024.1,3.91,0.695,84.4,87.2,1,51.93,0,44.54,0,36.14,0,100.0,1,73.95,1,83.43,1,87.79,1,71.63,1,73.56,1,59.41,1,73.46,1,hollow_concrete_block
HDPE,1,10.6,3.1,0.54,fibres,3,9.5,65.1,12,10.47,1.32,0.92,2255.6,4.07,0.778,82.2,65.2,1,37.91,0,20.32,0,15.35,0,100.0,1,69.87,1,55.98,1,85.96,1,48.96,0,70.02,1,54.72,0,53.22,0,hollow_concrete_block
PET,0,18.3,20.0,0.65,none,0,0.0,52.3,67,18.09,2.84,1.5,2158.0,5.8,0.69,80.0,67.04,1,40.81,0,29.79,0,24.23,0,100.0,1,72.86,1,75.09,1,86.68,1,56.3,1,71.87,1,59.05,1,55.75,1,hollow_concrete_block
LDPE,2,5.3,7.3,0.37,fly_ash,1,11.1,29.5,72,38.65,5.13,3.85,2177.0,2.54,0.908,100.0,96.13,1,69.29,1,61.97,1,49.65,0,100.0,1,68.06,1,98.07,1,86.54,1,75.0,1,67.42,1,50.62,0,96.46,1,hollow_concrete_block
Mixed,5,12.1,19.7,0.59,none,0,0.0,60.1,73,20.75,2.48,1.99,2202.7,4.75,0.747,93.2,75.04,1,46.1,0,32.56,0,25.91,0,100.0,1,71.01,1,79.72,1,86.34,1,62.67,1,71.1,1,56.21,1,63.34,1,hollow_concrete_block
LDPE,2,37.3,2.5,0.61,silica_fume,2,3.5,26.4,73,10.75,1.21,1.17,1822.6,7.86,0.444,59.4,47.76,0,29.07,0,17.17,0,13.5,0,96.2,1,81.95,1,34.76,0,89.75,1,38.08,0,82.92,1,80.03,1,39.27,0,hollow_concrete_block
HDPE,1,10.9,12.3,0.57,fly_ash,1,20.6,71.2,67,25.09,3.71,2.83,2161.4,4.82,0.739,89.5,80.21,1,49.14,0,39.9,0,32.52,0,100.0,1,71.55,1,88.95,1,86.66,1,68.45,1,71.52,1,56.73,1,68.03,1,hollow_concrete_block
PVC,3,10.0,18.2,0.37,fibres,3,24.9,22.6,45,27.02,3.87,2.58,2248.8,3.6,0.821,100.0,90.46,1,55.04,1,44.1,0,35.5,0,100.0,1,69.03,1,87.98,1,86.01,1,71.03,1,68.97,1,53.13,0,76.48,1,hollow_concrete_block
HDPE,1,25.5,5.6,0.57,fibres,3,16.8,26.7,22,9.67,1.15,1.15,2004.8,6.92,0.649,64.8,50.05,0,30.26,0,16.4,0,12.76,0,99.08,1,75.5,1,47.36,0,87.96,1,39.87,0,71.86,1,61.96,1,40.92,0,hollow_concrete_block
PP,4,1.4,7.7,0.52,fibres,3,3.8,38.5,8,10.65,1.72,1.19,2329.1,2.3,1.043,85.2,71.45,1,46.28,0,26.54,0,19.39,0,100.0,1,64.96,1,51.8,0,85.46,1,49.2,0,64.5,1,46.6,0,64.51,1,hollow_concrete_block
LDPE,2,8.4,5.4,0.38,fibres,3,29.2,65.0,33,22.47,3.08,2.2,2262.8,3.84,0.915,100.0,82.76,1,50.51,0,37.11,0,29.6,0,100.0,1,67.25,1,79.39,1,85.91,1,64.96,1,66.91,1,50.07,0,69.71,1,hollow_concrete_block
HDPE,1,39.0,16.3,0.61,none,0,0.0,30.8,45,7.07,1.19,0.64,1817.6,8.97,0.42,50.2,40.12,0,24.39,0,13.02,0,10.34,0,93.58,1,82.01,1,25.91,0,84.78,1,30.24,0,82.32,1,83.15,1,32.55,0,hollow_concrete_block
PVC,3,32.1,17.3,0.59,silica_fume,2,4.8,62.1,51,10.12,2.05,0.81,2008.6,7.49,0.558,63.4,49.41,0,30.1,0,18.81,0,15.34,0,97.25,1,78.81,1,48.02,0,87.92,1,38.42,0,74.98,1,67.97,1,40.44,0,hollow_concrete_block
PET,0,34.3,4.8,0.59,fibres,3,10.5,69.2,32,9.21,1.29,0.74,2019.6,7.9,0.534,55.5,46.63,0,28.34,0,15.81,0,12.5,0,96.1,1,79.77,1,45.27,0,87.83,1,35.91,0,75.65,1,69.85,1,37.97,0,hollow_concrete_block
HDPE,1,0.9,4.3,0.45,none,0,0.0,78.0,38,19.54,2.64,2.04,2320.6,1.83,0.999,97.6,83.24,1,59.5,1,40.71,0,30.43,0,100.0,1,65.58,1,70.38,1,85.51,1,61.05,1,65.21,1,47.64,0,75.66,1,hollow_concrete_block
LDPE,2,25.7,8.3,0.64,silica_fume,2,28.2,26.9,36,12.63,1.63,1.31,1939.0,3.41,0.579,74.2,69.52,1,39.32,0,24.53,0,18.57,0,100.0,1,78.66,1,50.0,0,88.57,1,51.84,0,78.64,1,66.77,1,57.07,1,hollow_concrete_block
HDPE,1,23.2,19.7,0.36,fibres,3,10.4,67.2,58,24.81,3.92,2.65,2022.7,6.17,0.602,83.9,74.27,1,45.85,0,38.93,0,32.18,0,100.0,1,76.92,1,78.77,1,87.8,1,63.33,1,75.09,1,64.75,1,62.71,1,hollow_concrete_block
PP,4,39.4,2.8,0.62,fly_ash,1,7.6,62.5,3,3.23,0.55,0.3,1796.3,9.71,0.404,36.2,32.3,0,19.32,0,7.35,0,5.52,0,71.0,1,68.8,1,14.67,0,58.05,1,23.53,0,70.49,1,85.54,1,25.59,0,thermal_insulation_panel
PP,4,37.0,11.0,0.57,fly_ash,1,10.9,24.2,88,14.78,1.95,1.52,1815.7,8.7,0.406,65.0,52.53,0,32.54,0,22.72,0,18.42,0,94.16,1,82.03,1,42.42,0,88.22,1,41.16,0,85.35,1,85.13,1,43.71,0,hollow_concrete_block
LDPE,2,24.9,13.4,0.39,silica_fume,2,15.2,60.0,44,25.55,4.01,2.75,2058.5,4.2,0.67,79.8,82.8,1,49.32,0,41.92,0,34.14,0,100.0,1,74.33,1,81.51,1,87.49,1,69.07,1,74.24,1,60.54,1,69.41,1,hollow_concrete_block
PVC,3,27.9,11.3,0.41,fibres,3,20.3,74.2,81,26.36,3.45,2.47,2067.0,6.17,0.555,86.4,76.67,1,47.64,0,39.31,0,32.13,0,100.0,1,78.38,1,85.16,1,87.42,1,65.4,1,77.12,1,67.92,1,65.08,1,hollow_concrete_block
PP,4,12.0,11.2,0.35,silica_fume,2,6.3,67.1,80,41.82,5.96,4.56,2205.1,3.41,0.775,100.0,95.66,1,68.13,1,64.54,1,52.82,0,100.0,1,70.34,1,96.06,1,86.33,1,75.0,1,70.32,1,55.04,1,90.07,1,hollow_concrete_block
Mixed,5,12.9,9.1,0.55,fibres,3,23.8,77.6,24,10.23,1.98,1.26,2174.7,3.64,0.874,86.8,67.22,1,38.9,0,22.51,0,17.36,0,100.0,1,68.65,1,62.54,1,86.55,1,48.64,0,68.12,1,51.66,0,55.34,1,hollow_concrete_block
Mixed,5,3.4,10.6,0.54,silica_fume,2,2.8,77.1,33,18.4,2.1,1.72,2307.7,2.48,0.926,92.9,81.63,1,52.29,0,34.4,0,25.96,0,100.0,1,66.73,1,68.22,1,85.6,1,59.53,1,66.52,1,49.58,0,74.23,1,hollow_concrete_block
Mixed,5,12.4,16.2,0.39,none,0,0.0,34.7,63,23.46,3.24,2.37,2210.4,4.52,0.758,87.7,79.78,1,48.36,0,37.46,0,30.21,0,100.0,1,70.69,1,82.27,1,86.29,1,66.28,1,70.76,1,55.71,1,67.23,1,hollow_concrete_block
PP,4,34.0,1.9,0.47,fly_ash,1,21.6,43.0,54,16.92,2.47,1.54,1905.2,8.17,0.549,61.5,56.37,1,34.78,0,26.36,0,21.58,0,95.4,1,80.28,1,51.48,0,88.48,1,45.41,0,75.13,1,69.21,1,46.96,0,hollow_concrete_block
HDPE,1,5.9,13.9,0.62,none,0,0.0,66.7,31,15.75,2.73,1.53,2297.1,3.32,0.98,80.7,77.8,1,44.72,0,30.61,0,24.05,0,100.0,1,66.02,1,61.44,1,85.67,1,56.0,1,65.61,1,48.2,0,64.05,1,hollow_concrete_block
HDPE,1,32.2,14.1,0.49,fly_ash,1,27.5,27.3,20,10.98,1.85,0.75,1866.9,6.98,0.504,54.8,49.44,0,29.7,0,19.43,0,15.62,0,98.88,1,81.43,1,37.13,0,89.28,1,41.38,0,79.63,1,73.33,1,40.55,0,hollow_concrete_block
PVC,3,26.7,19.8,0.53,fibres,3,18.4,63.2,67,18.5,2.61,2.18,2054.9,6.12,0.597,82.5,66.23,1,40.52,0,29.38,0,23.8,0,100.0,1,76.8,1,70.19,1,87.52,1,55.17,1,75.25,1,64.93,1,55.25,1,hollow_concrete_block
PVC,3,33.2,11.2,0.62,fibres,3,13.5,65.1,84,13.46,1.26,1.33,1995.5,8.24,0.52,70.7,53.43,0,33.1,0,19.85,0,15.65,0,95.23,1,80.05,1,54.53,0,87.46,1,40.6,0,76.17,1,71.18,1,44.22,0,hollow_concrete_block
LDPE,2,30.6,10.7,0.54,silica_fume,2,13.2,62.8,33,12.04,1.37,1.19,1941.1,5.13,0.566,62.0,57.44,1,33.73,0,20.66,0,15.94,0,100.0,1,79.16,1,46.04,0,88.55,1,51.05,0,79.26,1,67.71,1,47.15,0,hollow_concrete_block
LDPE,2,13.4,17.9,0.37,fly_ash,1,6.9,61.6,30,17.91,2.48,1.58,2141.8,3.93,0.897,81.9,75.12,1,44.04,0,30.9,0,24.36,0,100.0,1,68.54,1,75.26,1,86.81,1,58.88,1,67.8,1,51.09,0,62.22,1,hollow_concrete_block
PET,0,16.6,7.0,0.49,none,0,0.0,32.4,56,17.28,2.48,1.71,2182.4,5.23,0.789,80.6,68.1,1,41.05,0,28.58,0,22.92,0,100.0,1,70.23,1,72.15,1,86.5,1,58.04,1,70.05,1,54.58,0,56.47,1,hollow_concrete_block
PVC,3,36.2,11.9,0.56,fibres,3,14.3,76.6,41,7.98,1.03,0.34,1960.6,9.06,0.539,58.5,43.29,0,26.63,0,13.5,0,10.61,0,93.4,1,80.14,1,39.77,0,86.02,1,31.24,0,74.4,1,69.73,1,35.22,0,hollow_concrete_block
PVC,3,34.1,19.1,0.48,fly_ash,1,14.6,36.4,65,16.41,2.39,2.26,2059.6,8.09,0.441,59.4,56.7,1,34.97,0,25.68,0,20.99,0,95.6,1,79.42,1,61.12,1,87.26,1,44.95,0,81.53,1,79.13,1,47.02,0,hollow_concrete_block
PET,0,15.6,13.5,0.59,fly_ash,1,25.2,75.2,82,26.04,3.42,2.32,2179.3,4.38,0.85,90.8,83.69,1,51.0,0,40.68,0,32.8,0,100.0,1,69.04,1,89.59,1,86.52,1,69.72,1,68.61,1,52.41,0,70.98,1,hollow_concrete_block
PP,4,1.1,8.2,0.52,none,0,0.0,25.0,57,21.61,3.47,2.18,2308.3,2.81,1.01,97.1,85.91,1,53.55,0,39.77,0,31.4,0,100.0,1,65.53,1,74.61,1,85.6,1,63.81,1,65.08,1,47.43,0,76.55,1,hollow_concrete_block
HDPE,1,34.7,4.0,0.43,silica_fume,2,6.3,39.6,51,15.19,1.86,1.24,1895.5,7.97,0.41,65.6,54.79,0,33.76,0,23.19,0,18.66,0,95.91,1,81.1,1,48.96,0,88.99,1,43.67,0,85.32,1,84.09,1,45.53,0,hollow_concrete_block
LDPE,2,30.1,16.7,0.43,none,0,0.0,48.2,72,15.5,2.02,1.43,1893.7,7.44,0.507,73.4,57.03,1,35.12,0,24.13,0,19.46,0,97.4,1,81.12,1,51.35,0,89.01,1,45.76,0,78.58,1,72.9,1,47.48,0,hollow_concrete_block
PET,0,40.0,7.3,0.55,none,0,0.0,65.3,34,6.6,0.85,0.48,1944.7,9.5,0.425,42.8,38.92,0,23.67,0,11.53,0,8.98,0,92.54,1,80.57,1,32.31,0,79.35,1,28.45,0,79.04,1,81.75,1,31.33,0,hollow_concrete_block
HDPE,1,33.6,12.6,0.42,fibres,3,20.1,53.8,30,11.43,1.82,0.81,1899.3,7.78,0.525,63.8,49.9,0,30.51,0,19.41,0,15.67,0,96.42,1,81.06,1,42.5,0,88.95,1,39.23,0,76.99,1,71.24,1,41.08,0,hollow_concrete_block
PVC,3,28.0,15.5,0.4,none,0,0.0,66.7,23,8.1,0.65,0.82,2091.8,6.68,0.612,56.3,48.09,0,28.75,0,13.72,0,10.28,0,99.95,1,75.91,1,48.78,0,87.21,1,38.74,0,73.32,1,63.78,1,38.96,0,hollow_concrete_block
LDPE,2,4.3,1.0,0.44,fibres,3,11.9,62.9,12,14.05,1.6,1.27,2289.9,2.43,0.916,94.2,75.7,1,48.92,0,29.02,0,21.37,0,100.0,1,67.02,1,62.58,1,85.72,1,53.73,0,66.78,1,49.93,0,68.91,1,hollow_concrete_block
PP,4,27.6,12.7,0.38,silica_fume,2,25.5,56.0,18,15.84,2.47,1.36,1967.1,4.76,0.462,71.2,65.33,1,38.6,0,27.62,0,22.06,0,100.0,1,80.33,1,56.59,1,88.3,1,56.12,1,85.48,1,77.12,1,54.08,0,hollow_concrete_block
PP,4,31.3,7.3,0.48,silica_fume,2,2.1,58.9,4,6.97,0.92,0.77,1879.6,7.35,0.523,53.8,43.34,0,25.94,0,12.9,0,9.92,0,97.68,1,81.28,1,31.1,0,85.62,1,34.69,0,76.06,1,71.53,1,35.12,0,hollow_concrete_block
PVC,3,32.9,2.6,0.64,fibres,3,21.2,46.1,69,11.97,1.78,1.11,2022.8,7.75,0.526,71.4,52.5,0,32.34,0,19.86,0,15.99,0,96.51,1,79.77,1,54.17,0,87.8,1,40.05,0,76.29,1,70.51,1,43.27,0,hollow_concrete_block
Mixed,5,10.8,16.3,0.51,fibres,3,13.9,69.5,78,25.91,4.25,2.76,2205.2,4.42,0.818,96.0,83.51,1,51.43,0,42.57,0,34.88,0,100.0,1,69.44,1,88.86,1,86.33,1,69.55,1,69.23,1,53.41,0,70.8,1,hollow_concrete_block
LDPE,2,12.9,5.3,0.63,silica_fume,2,26.4,34.6,62,22.56,2.6,2.19,2166.1,3.26,0.823,96.8,86.13,1,51.66,0,37.24,0,29.08,0,100.0,1,69.67,1,86.27,1,86.62,1,65.08,1,69.29,1,53.39,0,73.01,1,hollow_concrete_block
PP,4,24.4,7.9,0.36,silica_fume,2,5.5,32.7,36,20.41,2.19,2.09,2020.5,5.1,0.691,74.5,70.82,1,42.54,0,31.11,0,24.66,0,100.0,1,74.09,1,68.87,1,87.82,1,62.21,1,73.71,1,59.63,1,59.09,1,hollow_concrete_block
LDPE,2,11.2,12.1,0.61,none,0,0.0,51.0,27,9.83,1.57,1.44,2195.3,4.12,0.809,73.8,62.59,1,36.14,0,20.23,0,15.47,0,100.0,1,69.7,1,57.07,1,86.4,1,48.11,0,69.5,1,53.78,0,50.97,0,hollow_concrete_block
PET,0,9.7,8.4,0.52,fly_ash,1,20.7,58.8,65,29.23,3.84,2.94,2241.6,3.94,0.871,95.4,90.96,1,55.5,1,45.6,0,36.78,0,100.0,1,68.15,1,91.64,1,86.06,1,73.97,1,67.89,1,51.48,0,77.18,1,hollow_concrete_block
PVC,3,31.7,2.3,0.42,fly_ash,1,9.2,54.9,63,16.7,2.26,1.47,2035.5,7.86,0.562,65.5,58.01,1,35.82,0,25.74,0,20.92,0,96.2,1,78.38,1,61.45,1,87.69,1,46.02,0,74.13,1,67.53,1,48.21,0,hollow_concrete_block
PP,4,21.2,8.8,0.57,silica_fume,2,10.6,47.2,42,17.73,2.89,1.86,2100.0,4.27,0.62,70.0,71.1,1,41.73,0,31.2,0,25.01,0,100.0,1,75.55,1,68.93,1,87.14,1,58.64,1,75.97,1,63.23,1,58.84,1,hollow_concrete_block
LDPE,2,9.2,14.6,0.44,fly_ash,1,5.7,64.3,38,21.28,3.18,2.12,2226.8,3.21,0.984,87.5,84.87,1,50.17,0,37.54,0,29.7,0,100.0,1,66.51,1,77.42,1,86.17,1,63.37,1,65.84,1,48.37,0,71.9,1,hollow_concrete_block
Mixed,5,23.6,15.3,0.53,none,0,0.0,70.0,40,11.49,1.83,1.25,2061.7,5.93,0.67,73.4,56.35,1,33.89,0,20.56,0,16.35,0,100.0,1,74.3,1,56.66,1,87.46,1,46.8,0,72.72,1,60.52,1,46.29,0,hollow_concrete_block
HDPE,1,14.4,6.4,0.56,fly_ash,1,8.2,78.5,73,23.72,3.8,2.27,2120.2,4.54,0.787,91.1,79.36,1,48.42,0,39.09,0,31.89,0,100.0,1,70.81,1,85.76,1,86.98,1,66.63,1,70.39,1,54.93,0,67.24,1,hollow_concrete_block
