row_id,generation_method,plastic_type,replacement_pct,particle_size_mm,wc_ratio,additive_type,additive_pct,curing_temp_c,curing_days,compressive_strength_mpa,flexural_strength_mpa,split_tensile_mpa,density_kgm3,water_absorption_pct,thermal_conductivity_wm,durability_index,cement_kgm3,water_kgm3,fine_agg_kgm3,coarse_agg_kgm3,plastic_mass_kgm3,additive_mass_kgm3,co2_cement_kgm3,co2_water_kgm3,co2_sand_kgm3,co2_coarse_kgm3,co2_plastic_kgm3,co2_additive_kgm3,embodied_carbon_kgco2e_m3,baseline_concrete_co2,co2_saving_kgco2e_m3,co2_saving_pct,plastic_diversion_kg_m3,pet_bottle_equiv,is_516_grade,is_516_compliant,is_1237_compliant,is_1237_cs_margin_mpa,is_1237_wa_margin_pct,is_2185_pt1_compliant,is_2185_cs_margin_mpa,is_2185_pt2_compliant,is_5816_compliant,nbc_2016_structural,nbc_2016_nonstructural,bis_overall_pass,n_standards_passed,igbc_recycled_content_credit,igbc_regional_materials_credit,igbc_indoor_air_credit,igbc_total_credits,griha_embodied_energy_point,griha_waste_management_point,griha_material_criterion_pts,leed_bpdo_credit,leed_construction_waste_credit,leed_total_points,total_green_credits,score_carbon_component,score_plastic_diversion_comp,score_recycled_content_comp,score_bis_compliance_comp,score_green_rating_comp,sustainability_score,sustainability_grade,top_negative_factor,remediation_action_1,remediation_action_2,remediation_action_3,estimated_score_gain
M3_00011,physics_formula,PVC,16.27,5.22,0.43,fly_ash,11.16,24.2,56,36.885,3.746,3.445,2274.5,3.823,0.9862,74.52,340.26,146.31,569.36,1210.0,227.78,42.74,296.7043,0.0439,2.7329,5.808,-216.391,0.171,89.0691,365.71,276.6409,75.6449,227.78,9111,M30,1,0,6.885,-2.823,1,33.385,0,0,1,0,1,3,1,0,0,1,1,1,2,1,1,2,5,28.995,25.0,8.135,6.429,7.143,75.7,B,split_tensile_mpa,Add fibres additive at 5-10%: fibres add 0.5-1.5 MPa STS,Reduce wc_ratio to 0.40: lower w/c improves tensile strength,Use PET or HDPE fibres specifically: better bond than granular,5.0
M3_00012,physics_formula,Mixed,13.27,10.22,0.508,silica_fume,13.7,35.7,56,36.525,3.55,3.522,2239.8,5.459,1.0048,71.11,330.53,167.91,589.76,1210.0,145.97,52.47,288.2213,0.0504,2.8309,5.808,-160.567,0.7346,137.0781,365.71,228.6319,62.5173,145.97,5838,M30,1,0,6.525,-4.459,1,33.025,0,0,1,0,1,3,1,1,0,2,1,1,2,1,1,2,6,25.966,18.246,6.635,6.429,8.571,65.85,B,split_tensile_mpa,Add fibres additive at 5-10%: fibres add 0.5-1.5 MPa STS,Reduce wc_ratio to 0.40: lower w/c improves tensile strength,Use PET or HDPE fibres specifically: better bond than granular,5.0
M3_00013,physics_formula,LDPE,10.01,11.1,0.376,none,0.0,37.9,7,36.268,4.039,3.59,2270.6,3.606,1.0715,54.09,383.0,144.01,611.93,1210.0,92.09,0.0,333.976,0.0432,2.9373,5.808,-115.115,0.0,227.6495,365.71,138.0605,37.7514,92.09,3683,M30,1,0,6.268,-2.606,1,32.768,0,0,1,0,1,3,1,0,0,1,1,0,1,1,1,2,4,20.25,11.511,5.005,6.429,5.714,48.91,C,split_tensile_mpa,Add fibres additive at 5-10%: fibres add 0.5-1.5 MPa STS,Reduce wc_ratio to 0.40: lower w/c improves tensile strength,Use PET or HDPE fibres specifically: better bond than granular,5.0
M3_00014,physics_formula,PP,17.66,6.72,0.418,fly_ash,16.5,32.0,28,39.49,3.921,3.963,2131.9,3.307,0.7906,84.55,319.81,133.68,559.91,1210.0,159.82,63.2,278.87,0.0401,2.6876,5.808,-188.5911,0.2528,99.0673,365.71,266.6427,72.911,159.82,6392,M30,1,0,9.49,-2.307,1,35.99,0,1,1,0,1,4,1,0,0,1,1,1,2,1,1,2,5,28.364,19.977,8.83,8.571,7.143,72.89,B,sustainability_score,Increase replacement_pct from 17.66% to 22.66%,Switch additive_type to silica_fume if not already,Extend curing_days to 28 for maximum strength gain,3.0
M3_00015,physics_formula,PP,14.73,14.9,0.401,fibres,5.95,48.5,90,36.188,5.189,3.571,2113.8,4.373,0.966,70.36,360.21,144.44,579.84,1210.0,133.31,22.79,314.1044,0.0433,2.7832,5.808,-157.3017,0.0,165.4373,365.71,200.2727,54.7627,133.31,5332,M30,1,0,6.188,-3.373,1,32.688,0,0,1,0,1,3,1,0,0,1,1,1,2,1,1,2,5,24.176,16.664,7.365,6.429,7.143,61.78,B,split_tensile_mpa,Add fibres additive at 5-10%: fibres add 0.5-1.5 MPa STS,Reduce wc_ratio to 0.40: lower w/c improves tensile strength,Use PET or HDPE fibres specifically: better bond than granular,5.0
M3_00016,physics_formula,LDPE,34.45,5.6,0.535,silica_fume,16.97,25.4,28,25.112,1.927,2.385,1829.1,5.473,0.6135,64.54,318.0,170.13,445.74,1210.0,316.94,65.0,277.3003,0.051,2.1396,5.808,-396.175,0.9099,-109.9662,365.71,475.6762,130.0692,316.94,12677,M25,1,0,-4.888,-4.473,1,21.612,0,0,1,0,1,3,1,0,0,1,1,1,2,1,1,2,5,30.0,25.0,17.225,6.429,7.143,85.8,A,water_absorption_pct,Reduce wc_ratio from current to 0.40 to cut water absorption,Increase additive to 15% silica_fume to densify matrix,Reduce replacement_pct by 5-10% to boost CS above 30 MPa,8.0
M3_00017,physics_formula,LDPE,16.67,9.05,0.428,none,0.0,27.9,28,34.475,3.359,3.302,2116.9,4.887,0.814,64.88,383.0,163.92,566.64,1210.0,153.36,0.0,333.976,0.0492,2.7199,5.808,-191.705,0.0,150.8481,365.71,214.8619,58.752,153.36,6134,M30,1,0,4.475,-3.887,1,30.975,0,0,1,0,1,3,1,0,0,1,1,1,2,1,1,2,5,25.097,19.17,8.335,6.429,7.143,66.17,B,split_tensile_mpa,Add fibres additive at 5-10%: fibres add 0.5-1.5 MPa STS,Reduce wc_ratio to 0.40: lower w/c improves tensile strength,Use PET or HDPE fibres specifically: better bond than granular,5.0
M3_00018,physics_formula,LDPE,24.46,9.69,0.52,none,0.0,43.0,28,26.191,2.58,2.527,2056.6,5.894,0.7153,47.79,383.0,199.16,513.67,1210.0,225.03,0.0,333.976,0.0597,2.4656,5.808,-281.29,0.0,61.0194,365.71,304.6906,83.3148,225.03,9001,M25,1,0,-3.809,-4.894,1,22.691,0,0,1,0,1,3,1,0,0,1,1,1,2,1,1,2,5,30.0,25.0,12.23,6.429,7.143,80.8,A,water_absorption_pct,Reduce wc_ratio from current to 0.40 to cut water absorption,Increase additive to 15% silica_fume to densify matrix,Reduce replacement_pct by 5-10% to boost CS above 30 MPa,8.0
M3_00019,physics_formula,PET,7.12,6.18,0.463,fibres,3.53,26.9,28,37.09,4.971,3.498,2355.7,5.306,1.009,60.77,369.48,171.07,631.58,1210.0,98.26,13.52,322.1866,0.0513,3.0316,5.808,-129.6979,0.0,201.3797,365.71,164.3303,44.9346,98.26,3930,M30,1,0,7.09,-4.306,1,33.59,0,0,1,0,1,3,1,1,0,2,1,0,1,0,1,1,4,21.908,12.283,3.56,6.429,5.714,49.89,C,split_tensile_mpa,Add fibres additive at 5-10%: fibres add 0.5-1.5 MPa STS,Reduce wc_ratio to 0.40: lower w/c improves tensile strength,Use PET or HDPE fibres specifically: better bond than granular,5.0
M3_00020,physics_formula,PP,19.69,6.36,0.422,fly_ash,23.3,43.3,28,37.181,4.182,3.403,2109.6,2.867,0.8208,87.98,293.76,123.97,546.11,1210.0,178.19,89.24,256.1596,0.0372,2.6213,5.808,-210.2695,0.357,54.7135,365.71,310.9965,85.0391,178.19,7127,M30,1,0,7.181,-1.867,1,33.681,0,0,1,0,1,3,1,0,0,1,1,1,2,1,1,2,5,30.0,22.274,9.845,6.429,7.143,75.69,B,split_tensile_mpa,Add fibres additive at 5-10%: fibres add 0.5-1.5 MPa STS,Reduce wc_ratio to 0.40: lower w/c improves tensile strength,Use PET or HDPE fibres specifically: better bond than granular,5.0
M3_00021,physics_formula,HDPE,33.56,7.9,0.474,fly_ash,18.58,39.0,7,27.585,2.48,2.615,1957.0,3.996,0.7102,62.28,311.84,147.81,451.79,1210.0,322.18,71.16,271.9233,0.0443,2.1686,5.808,-386.6112,0.2846,-106.3824,365.71,472.0924,129.0893,322.18,12887,M25,1,0,-2.415,-2.996,1,24.085,0,0,1,0,1,3,1,1,0,2,1,1,2,1,1,2,6,30.0,25.0,16.78,6.429,8.571,86.78,A,water_absorption_pct,Reduce wc_ratio from current to 0.40 to cut water absorption,Increase additive to 15% silica_fume to densify matrix,Reduce replacement_pct by 5-10% to boost CS above 30 MPa,8.0
M3_00022,physics_formula,LDPE,19.31,6.2,0.472,none,0.0,40.2,28,28.739,3.305,2.585,2150.1,5.489,0.8497,52.63,383.0,180.78,548.69,1210.0,177.65,0.0,333.976,0.0542,2.6337,5.808,-222.065,0.0,120.407,365.71,245.303,67.0758,177.65,7106,M25,1,0,-1.261,-4.489,1,25.239,0,0,1,0,1,3,1,0,0,1,1,1,2,1,1,2,5,27.017,22.206,9.655,6.429,7.143,72.45,B,water_absorption_pct,Reduce wc_ratio from current to 0.40 to cut water absorption,Increase additive to 15% silica_fume to densify matrix,Reduce replacement_pct by 5-10% to boost CS above 30 MPa,8.0
M3_00023,physics_formula,Mixed,3.6,8.73,0.548,silica_fume,22.11,25.8,14,34.231,3.346,3.326,2345.2,6.463,1.1452,57.49,298.32,163.48,655.52,1210.0,39.6,84.68,260.1339,0.049,3.1465,5.808,-43.56,1.1855,226.763,365.71,138.947,37.9938,39.6,1584,M30,1,0,4.231,-5.463,1,30.731,0,0,1,0,1,3,0,1,0,1,1,0,1,0,0,0,2,20.306,4.95,1.8,6.429,2.857,36.34,D,replacement_pct,Increase replacement_pct to 15%: diversion reaches ~83 kg/m3,Switch to Mixed plastic type for higher volume at lower cost,Use larger particle_size to maintain workability at higher pct,6.0
M3_00024,physics_formula,PVC,12.99,3.86,0.507,fibres,17.2,63.4,56,44.766,6.508,4.207,2282.6,6.563,1.011,74.45,317.12,160.78,591.67,1210.0,181.86,65.88,276.5321,0.0482,2.84,5.808,-172.767,0.0,112.4614,365.71,253.2486,69.2485,181.86,7274,M30,1,0,14.766,-5.563,1,41.266,0,0,1,0,1,3,1,0,0,1,1,1,2,1,1,2,5,27.519,22.733,6.495,6.429,7.143,70.32,B,split_tensile_mpa,Add fibres additive at 5-10%: fibres add 0.5-1.5 MPa STS,Reduce wc_ratio to 0.40: lower w/c improves tensile strength,Use PET or HDPE fibres specifically: better bond than granular,5.0
M3_00025,physics_formula,Mixed,4.74,12.61,0.487,fly_ash,10.57,32.5,56,40.879,3.459,3.669,2369.1,5.155,1.1587,71.02,342.52,166.81,647.77,1210.0,52.14,40.48,298.6747,0.05,3.1093,5.808,-57.354,0.1619,250.45,365.71,115.26,31.5168,52.14,2085,M30,1,0,10.879,-4.155,1,37.379,0,0,1,0,1,3,1,1,0,2,1,0,1,0,0,0,3,18.812,6.518,2.37,6.429,4.286,38.42,D,split_tensile_mpa,Add fibres additive at 5-10%: fibres add 0.5-1.5 MPa STS,Reduce wc_ratio to 0.40: lower w/c improves tensile strength,Use PET or HDPE fibres specifically: better bond than granular,5.0
M3_00026,physics_formula,HDPE,13.21,15.73,0.479,none,0.0,27.5,28,32.409,3.34,3.178,2197.5,5.732,1.0857,54.49,383.0,183.46,590.17,1210.0,126.82,0.0,333.976,0.055,2.8328,5.808,-152.1792,0.0,190.4927,365.71,175.2173,47.9116,126.82,5072,M30,1,0,2.409,-4.732,1,28.909,0,0,1,0,1,3,1,1,0,2,1,1,2,1,1,2,6,22.595,15.852,6.605,6.429,8.571,60.05,B,split_tensile_mpa,Add fibres additive at 5-10%: fibres add 0.5-1.5 MPa STS,Reduce wc_ratio to 0.40: lower w/c improves tensile strength,Use PET or HDPE fibres specifically: better bond than granular,5.0
M3_00027,physics_formula,PVC,16.23,14.42,0.629,fly_ash,21.94,61.2,28,32.693,3.484,3.227,2271.3,7.031,0.9916,68.17,298.97,188.05,569.64,1210.0,227.22,84.03,260.7017,0.0564,2.7343,5.808,-215.859,0.3361,53.7775,365.71,311.9325,85.2951,227.22,9088,M30,1,0,2.693,-6.031,1,29.193,0,0,1,0,1,3,1,0,0,1,1,1,2,1,1,2,5,30.0,25.0,8.115,6.429,7.143,76.69,B,split_tensile_mpa,Add fibres additive at 5-10%: fibres add 0.5-1.5 MPa STS,Reduce wc_ratio to 0.40: lower w/c improves tensile strength,Use PET or HDPE fibres specifically: better bond than granular,5.0
M3_00028,physics_formula,PET,13.77,3.68,0.533,fibres,15.75,51.1,28,40.72,5.996,3.89,2272.5,6.77,1.0555,70.47,322.68,171.99,586.36,1210.0,190.03,60.32,281.3748,0.0516,2.8145,5.808,-250.8343,0.0,39.2146,365.71,326.4954,89.2771,190.03,7601,M30,1,0,10.72,-5.77,1,37.22,0,0,1,0,1,3,1,1,0,2,1,1,2,1,1,2,6,30.0,23.754,6.885,6.429,8.571,75.64,B,split_tensile_mpa,Add fibres additive at 5-10%: fibres add 0.5-1.5 MPa STS,Reduce wc_ratio to 0.40: lower w/c improves tensile strength,Use PET or HDPE fibres specifically: better bond than granular,5.0
M3_00029,physics_formula,LDPE,32.05,4.41,0.435,silica_fume,6.07,28.0,56,28.116,3.265,2.483,1962.2,2.386,0.5472,76.14,359.75,156.49,462.06,1210.0,294.86,23.25,313.7037,0.0469,2.2179,5.808,-368.575,0.3255,-46.473,365.71,412.183,112.7076,294.86,11794,M25,1,0,-1.884,-1.386,1,24.616,0,0,1,0,1,3,1,0,1,2,1,1,2,1,1,2,6,30.0,25.0,16.025,6.429,8.571,86.03,A,water_absorption_pct,Reduce wc_ratio from current to 0.40 to cut water absorption,Increase additive to 15% silica_fume to densify matrix,Reduce replacement_pct by 5-10% to boost CS above 30 MPa,8.0
M3_00030,physics_formula,LDPE,28.8,17.17,0.427,fibres,9.65,39.4,56,31.732,4.796,2.899,1986.8,4.105,0.7357,64.87,346.04,147.76,484.16,1210.0,264.96,36.96,301.7473,0.0443,2.324,5.808,-331.2,0.0,-21.2764,365.71,386.9864,105.8178,264.96,10598,M30,1,0,1.732,-3.105,1,28.232,0,0,1,0,1,3,1,0,0,1,1,1,2,1,1,2,5,30.0,25.0,14.4,6.429,7.143,82.97,A,split_tensile_mpa,Add fibres additive at 5-10%: fibres add 0.5-1.5 MPa STS,Reduce wc_ratio to 0.40: lower w/c improves tensile strength,Use PET or HDPE fibres specifically: better bond than granular,5.0
M3_00031,physics_formula,LDPE,2.89,4.04,0.433,fly_ash,6.29,39.6,28,39.104,3.883,4.014,2308.9,3.894,1.0776,72.48,358.91,155.41,660.35,1210.0,26.59,24.09,312.9689,0.0466,3.1697,5.808,-33.235,0.0964,288.8546,365.71,76.8554,21.0154,26.59,1063,M30,1,0,9.104,-2.894,1,35.604,0,1,1,0,1,4,0,0,0,0,1,0,1,0,0,0,1,16.388,3.324,1.445,8.571,1.429,31.16,D,replacement_pct,Increase replacement_pct to 15%: diversion reaches ~83 kg/m3,Switch to Mixed plastic type for higher volume at lower cost,Use larger particle_size to maintain workability at higher pct,6.0
M3_00032,physics_formula,Mixed,19.53,11.38,0.427,fibres,19.16,26.5,28,34.103,4.585,3.231,2157.4,3.477,0.8442,78.06,309.62,132.21,547.2,1210.0,214.83,73.38,269.9862,0.0397,2.6265,5.808,-236.313,0.0,42.1474,365.71,323.5626,88.4752,214.83,8593,M30,1,0,4.103,-2.477,1,30.603,0,0,1,0,1,3,1,1,0,2,1,1,2,1,1,2,6,30.0,25.0,9.765,6.429,8.571,79.77,B,split_tensile_mpa,Add fibres additive at 5-10%: fibres add 0.5-1.5 MPa STS,Reduce wc_ratio to 0.40: lower w/c improves tensile strength,Use PET or HDPE fibres specifically: better bond than granular,5.0
M3_00033,physics_formula,LDPE,31.49,10.2,0.46,fly_ash,9.5,67.9,28,31.781,3.121,3.366,1919.4,3.444,0.6391,73.37,346.62,159.44,465.87,1210.0,289.71,36.38,302.2483,0.0478,2.2362,5.808,-362.135,0.1455,-51.6492,365.71,417.3592,114.123,289.71,11588,M30,1,0,1.781,-2.444,1,28.281,0,1,1,0,1,4,1,0,0,1,1,1,2,1,1,2,5,30.0,25.0,15.745,8.571,7.143,86.46,A,sustainability_score,Increase replacement_pct from 31.49% to 36.489999999999995%,Switch additive_type to silica_fume if not already,Extend curing_days to 28 for maximum strength gain,3.0
M3_00034,physics_formula,PVC,31.33,3.84,0.377,silica_fume,13.66,26.7,28,34.958,3.53,3.443,2065.8,2.628,0.8066,79.81,330.68,124.67,466.96,1210.0,438.62,52.32,288.3549,0.0374,2.2414,5.808,-416.689,0.7324,-119.5149,365.71,485.2249,132.6802,438.62,17544,M30,1,0,4.958,-1.628,1,31.458,0,0,1,0,1,3,1,0,0,1,1,1,2,1,1,2,5,30.0,25.0,15.665,6.429,7.143,84.24,A,split_tensile_mpa,Add fibres additive at 5-10%: fibres add 0.5-1.5 MPa STS,Reduce wc_ratio to 0.40: lower w/c improves tensile strength,Use PET or HDPE fibres specifically: better bond than granular,5.0
M3_00035,physics_formula,PP,34.19,7.68,0.494,silica_fume,23.66,53.3,56,35.09,3.385,3.468,1877.8,4.272,0.7369,78.51,292.38,144.44,447.51,1210.0,309.42,90.62,254.9573,0.0433,2.148,5.808,-365.115,1.2686,-100.8897,365.71,466.5997,127.5874,309.42,12376,M30,1,0,5.09,-3.272,1,31.59,0,0,1,0,1,3,1,0,0,1,1,1,2,1,1,2,5,30.0,25.0,17.095,6.429,7.143,85.67,A,split_tensile_mpa,Add fibres additive at 5-10%: fibres add 0.5-1.5 MPa STS,Reduce wc_ratio to 0.40: lower w/c improves tensile strength,Use PET or HDPE fibres specifically: better bond than granular,5.0
M3_00036,physics_formula,Mixed,8.09,8.44,0.549,fly_ash,18.96,43.9,14,34.097,3.542,3.533,2270.8,5.666,1.0095,59.59,310.38,170.4,624.99,1210.0,88.99,72.62,270.6542,0.0511,2.9999,5.808,-97.889,0.2905,181.9147,365.71,183.7953,50.2571,88.99,3559,M30,1,0,4.097,-4.666,1,30.597,0,1,1,0,1,4,1,1,0,2,1,0,1,0,1,1,4,23.136,11.124,4.045,8.571,5.714,52.59,C,sustainability_score,Increase replacement_pct from 8.09% to 13.09%,Switch additive_type to silica_fume if not already,Extend curing_days to 28 for maximum strength gain,3.0
M3_00037,physics_formula,Mixed,20.08,7.21,0.462,none,0.0,46.1,28,35.658,2.81,3.484,2113.1,4.84,0.8136,67.79,383.0,176.95,543.46,1210.0,220.88,0.0,333.976,0.0531,2.6086,5.808,-242.968,0.0,99.4777,365.71,266.2323,72.7988,220.88,8835,M30,1,0,5.658,-3.84,1,32.158,0,0,1,0,1,3,1,1,0,2,1,1,2,1,1,2,6,28.338,25.0,10.04,6.429,8.571,78.38,B,split_tensile_mpa,Add fibres additive at 5-10%: fibres add 0.5-1.5 MPa STS,Reduce wc_ratio to 0.40: lower w/c improves tensile strength,Use PET or HDPE fibres specifically: better bond than granular,5.0
M3_00038,physics_formula,Mixed,16.63,11.49,0.436,none,0.0,55.4,14,34.611,3.482,3.229,2221.1,5.076,0.9464,51.5,383.0,166.99,566.92,1210.0,182.93,0.0,333.976,0.0501,2.7212,5.808,-201.223,0.0,141.3323,365.71,224.3777,61.354,182.93,7317,M30,1,0,4.611,-4.076,1,31.111,0,0,1,0,1,3,1,1,0,2,1,1,2,1,1,2,6,25.697,22.866,8.315,6.429,8.571,71.88,B,split_tensile_mpa,Add fibres additive at 5-10%: fibres add 0.5-1.5 MPa STS,Reduce wc_ratio to 0.40: lower w/c improves tensile strength,Use PET or HDPE fibres specifically: better bond than granular,5.0
